chl_a_mg_L,water_temp_celcius,doxy_mg_L,pH
0.007634357,17.72894737,9.556084656,8.15
0.007910927,17.03627451,9.514302135,7.912121212
0.00815086,16.60376068,8.752061856,7.732704403
0.009787917,16.42857143,9.055945946,7.955367232
0.014436603,16.8336478,10.08314961,8.17970297
0.015433841,19.82430108,9.529568035,8.195360825
0.018484741,19.86666667,9.507969762,8.292397661
0.011741302,16.93011647,9.548280467,8.160119048
0.011514524,19.79847495,8.930459519,8.2625
0.016823513,20.01113537,9.672697368,8.219306931
0.009956277,16.89101498,9.616227045,8.195505618
0.014713838,19.58217391,8.999585153,8.155737705
0.009064556,16.74751656,9.485282392,8.207821229
0.008960905,19.47991361,8.840607375,8.193243243
0.010554824,17.34254967,9.841791045,8.255952381
0.009243197,17.15992011,9.543746667,8.316751269
0.00857989,17.82929119,9.510241908,8.294757709
0.009173503,18.66969201,9.329480255,8.291792035
0.00803174,17.88181853,9.564090966,8.299863014
0.008363721,18.04139595,9.679863469,8.310123051
0.007998723,18.02541929,9.556742056,8.307890772
0.008243601,17.99123704,9.313502793,8.256908752
0.007613149,17.88618182,9.318535547,8.155284211
0.008150652,18.07378571,9.312586408,8.240328947
0.008988318,17.69368093,8.983760587,8.171074169
0.007290389,18.11224808,9.498631783,8.280330097
0.007198102,18.04633459,9.462191288,8.279676806
0.006712548,18.04905671,9.062341556,8.223955224
0.005527184,17.74187985,9.21790538,8.124688889
0.005966012,17.68481603,8.935828467,8.100309735
0.00472683,17.12954259,8.766810056,8.07260274
0.00411629,17.12887037,8.632568773,8.037066667
0.007358609,17.68253623,8.819271403,8.026817102
0.006229461,17.29139332,8.774781716,8.026
0.011423927,18.02539095,7.674625,7.574605809
0.00892987,17.65079412,7.833562582,7.640432277
0.011572239,18.25494888,8.976774091,8.110661939
0.009819624,17.92819808,8.819880619,8.112505695
0.010038377,17.19211382,8.372295082,7.740901639
0.008683904,17.61573705,7.7366,7.605341365
0.011542051,16.917,8.751806433,7.845059524
0.035337916,16.31067708,10.51253264,8.42816092
0.003801504,16.18049383,6.858855721,6.42585034
0.031649281,15.72276215,10.34307692,7.977464789
0.051486619,15.62285012,10.14269136,7.99549505
0.031573383,16.82627737,9.251648352,7.417906977
0.016375761,17.48040886,8.143247863,7.31
0.011895447,16.87598684,8.705436573,7.8812
0.020160251,16.16855037,8.75382716,7.077777778
0.015531351,17.41908517,9.232148499,8.142423208
0.013720058,17.19967213,9.27044335,8.16025641
0.012388561,17.23856921,9.18549142,8.161598361
0.011578975,16.83858268,8.902056962,8.180100503
0.01219382,17.16896,9.669070513,8.396039604
0.009124648,17.63489149,9.379448161,8.289411765
0.009272823,18.28389522,9.477134438,8.287600224
0.008820085,18.46876809,9.492752328,8.292037736
0.009517219,18.26761145,9.026218445,8.045626911
0.009472727,17.06751004,8.428130081,7.793481781
0.014443694,17.79313008,7.864567901,7.665942623
0.021932282,17.61804384,10.02937182,8.165838509
0.002512129,15.13049404,8.249313894,7.277873563
0.009043192,17.9511254,6.853074434,6.759967846
0.001881214,14.84133791,8.694619377,7.28777027
0.014455896,17.3180791,7.6,7.154034091
0.019749799,17.62962357,8.097372742,7.873986486
0.006060766,17.43404605,8.828311258,7.72516129
0.014760068,17.91169533,8.705995025,7.140841584
0.006009087,18.2594186,7.32023393,7.493045977
0.005234626,20.68331378,6.849686509,7.283090379
0.027817605,17.98175182,8.925411335,7.680648464
0.017634679,17.464,8.219699499,7.62345679
0.01175223,18.32415459,7.596306452,7.495402685
0.008877248,17.79711864,9.098296422,7.833333333
0.010052691,17.74854202,9.152586207,7.915979381
0.012371725,17.95636646,9.2390625,7.937857143
0.009070916,17.56519608,8.948190789,7.785365854
0.009835707,17.70475783,8.648247126,6.986424419
0.008183279,17.11563636,9.233140244,7.070181818
0.015915095,16.79533101,9.236666667,7.194260563
0.024190088,18.15691176,9.310125,7.60034398
0.015881991,18.0397551,7.84218107,7.564238683
0.012919859,17.51808955,8.687278378,7.836774194
0.008230731,18.29283633,8.93411,8.182201835
0.008812142,18.33378891,8.805990414,8.123085299
0.007792222,18.20873188,8.879941068,8.145883424
0.007291805,18.32777091,8.645988487,8.117717996
0.032994582,16.05831266,10.16848635,8.136656891
0.018163214,15.90931373,9.881372549,7.818639706
0.016313678,16.17647059,9.962745098,7.65026738
0.079126271,16.30520095,10.8465721,8.43356974
0.027588441,17.08883415,10.55164474,8.196516393
0.01723213,15.92029703,10.23415842,8.228638498
0.020028138,16.78598131,9.793224299,8.23495935
0.018733475,16.85724466,9.70807601,8.175977654
0.003628026,17.55229885,8.029885057,7.274450867
0.011904197,17.90994854,9.542241379,8.086206897
0.015566333,20.95917431,7.899082569,7.948440367
0.033606356,19.69129129,8.692727273,7.758318318
0.058480268,14.47098592,8.59154386,8.091863636
0.015759403,13.84181365,6.810251884,7.350755943
0.005138966,14.5265625,9.232265625,8.034186047
0.002534884,13.50550265,9.755185185,8.048829787
0.003990166,12.28926702,9.878073879,7.412868217
0.017657377,14.43547368,9.519572193,7.860125
0.002254107,12.10635359,9.348787879,7.195584906
0.003077643,11.51835381,10.70911548,7.44476378
0.002439182,11.98889474,10.59,7.44391635
0.002384615,11.6470418,10.49881029,7.206987179
0.002391067,11.6588,10.69950588,7.356962963
0.001392713,11.59615979,9.323195876,6.820035461
0.011269912,12.262,10.18649383,6.993043478
0.007054378,14.09074627,9.697861272,7.124941176
0.002503419,12.12504545,9.158020833,7.181578947
0.001504348,11.275,9.789791667,7.268740157
0.013605045,12.32763975,10.77606476,7.101737089
0.001553913,11.22794444,9.662078652,7.213809524
0.006150977,13.09808933,9.488379747,7.352125604
0.00400354,13.51272727,9.900193237,7.287088608
0.001843609,13.17162037,9.604042553,7.387328244
0.003759292,12.23034247,9.713660131,7.178214286
0.014397735,13.85021912,9.873505976,7.318078292
0.008086442,13.1385514,9.629906542,7.555820313
0.009571531,12.51421769,9.326962457,7.384513889
0.014284577,13.31031949,9.742788462,7.495522388
0.025592743,13.99392786,9.18305835,7.420062696
0.029262739,14.22621377,9.545354331,7.701052632
0.051057879,14.87332627,10.25280851,7.868521739
0.018793035,15.0566343,9.135616883,7.717531646
0.024291944,12.9246837,9.822036585,7.550034014
0.004313793,12.93319372,9.02408377,7.329212598
0.004156443,15.51598985,10.0544757,7.874251497
0.002970427,12.41087289,10.62171254,7.951428571
0.001776053,12.81875923,10.68185185,7.695481928
0.001693982,12.75810219,10.27272727,7.7
0.00124029,12.07003058,10.51564417,7.385263158
0.002241638,14.53204969,8.761768369,7.326351351
0.003192078,14.7425,9.175568182,7.261409091
0.002568466,14.48449519,10.24866511,7.279925
0.114388889,15.21768707,11.16027397,8.399099099
0.005352216,12.62032193,9.485605749,7.52832636
0.006484615,12.53742911,9.9725,7.584095238
0.011821,14.62068182,9.872744186,7.713898305
0.020342401,12.35219365,10.49850769,7.772299465
0.011936195,14.04311741,10.28229209,8.066098305
0.031479234,11.39393258,10.75861678,7.792963855
0.026377994,13.60094162,10.52552987,7.940097087
0.019189439,14.74209524,10.57329502,8.244823151
0.029254388,14.03308081,11.11236641,8.319145299
0.039371029,14.18888889,10.72829439,8.35277193
0.021114384,14.8533557,10.75584459,8.289689441
0.04403468,14.20420168,11.41692568,8.417493473
0.04403759,13.78238411,11.36230053,8.495845511
0.003690736,10.74022346,10.85502814,7.595539216
0.006525652,13.08327787,9.988760331,7.50359447
0.018521932,14.41787004,10.051787,7.866625387
0.02230625,14.21446541,10.48572632,7.988403756
0.007096524,14.71863905,10.63192878,8.145
0.024666867,14.37279152,10.81703375,8.146425703
0.041950571,14.12833724,10.72620253,8.206619718
0.005266315,13.0275814,9.581869159,7.583811881
0.009032462,13.420625,9.423165618,7.682415094
0.003373837,14.20219298,10.0015859,7.877433628
0.019584519,13.125323,10.93536451,8.1121843
0.006407802,13.94904215,10.24229885,7.141640625
0.012445063,14.16307947,10.2877643,7.963762376
0.019081739,14.97340426,9.935779817,8.022512563
0.035020168,14.24234694,10.02564103,8.100392157
0.029371229,13.4781072,10.46270134,8.056791045
0.027757855,13.2504209,10.35288406,8.108151261
0.035424444,13.72526882,10.48275676,8.238956522
0.030082326,14.22296588,9.927382199,8.05654321
0.020821557,13.425,10.29035088,7.578384615
0.020409375,13.91034591,10.40598131,7.78293125
0.021657182,14.23160772,10.4928013,7.9165625
0.031334638,15.19161765,10.15563415,8.154726027
0.032214274,13.62987118,10.53487097,8.112691358
0.009046957,13.58600683,8.894041096,7.977016129
0.07320291,12.62823899,11.13459941,8.34031348
0.017001815,13.32577114,10.06566445,7.829016854
0.022782229,13.67484848,9.347333333,7.618114286
0.060481277,13.94828418,10.29932796,8.3305
0.003410366,12.35813253,8.778493976,7.273916084
0.058480268,14.47098592,8.59154386,8.091863636
0.016666791,14.44751676,6.800214393,7.625272531
0.002666972,13.79878519,10.34216667,8.086918239
0.001704218,13.00569593,9.698782051,8.154427083
0.003310278,12.847,10.27431472,7.927078652
0.002737073,11.39509901,9.6406,8.08311828
0.002867831,11.44335,9.953282051,8.022688172
0.006394659,11.8421519,9.661052632,7.931363636
0.003254217,12.11898148,10.1065566,7.964941176
0.005304828,12.10111111,9.52752381,8.019247312
0.002732513,14.32017094,10.58156522,7.864586735
0.002833419,13.88252836,10.52577371,7.947292208
0.006225373,14.846,8.424768786,7.813333333
0.006281696,13.813382,9.725530864,7.987115385
0.005282007,13.17177953,9.539148265,7.995708464
0.003967123,12.42118483,11.19245192,8.148646465
0.006635955,11.3318408,9.569390863,7.926707071
0.019676316,13.31915584,8.056824324,7.917410714
0.004366234,11.73531401,10.63222772,7.676728972
0.00796748,12.28074766,10.12399038,7.5361875
0.004279012,13.37287356,9.979181287,7.50125
